listingId,street,city,state,zip,price,propertyType,bedrooms,bathrooms,squareFeet,description,features,photos,status,listingDate,agentName,agentBrokerage,likeCount
TX-123456,742 Evergreen Terrace,Austin,TX,78701,1250000,Single Family Home,4,3,3200,"Stunning modern home with panoramic views of downtown Austin. Features include a gourmet kitchen with high-end appliances, spacious primary suite, and a resort-style backyard with infinity pool.","Gourmet Kitchen,Infinity Pool,Smart Home,Home Theater","https://images.unsplash.com/photo-1613977257363-707ba9348227,https://images.unsplash.com/photo-1613977257592-4871e5fcd7c4,https://images.unsplash.com/photo-1613977257365-aaae5a9817ff",Active,2024-02-04,Sarah Johnson,Luxury Real Estate Group,42
TX-123457,951 Rainbow Road,Austin,TX,78704,875000,Townhouse,3,2.5,2100,"Chic townhome in South Congress. Modern finishes throughout, private rooftop deck with downtown views, and attached two-car garage.","Rooftop Deck,Wine Cellar,Smart Home,EV Charging","https://images.unsplash.com/photo-1600596542815-ffad4c1539a9,https://images.unsplash.com/photo-1600607687939-ce8a6c25118c,https://images.unsplash.com/photo-1600607687644-aac4c3eac7f4",Active,2024-02-04,Michael Chen,Urban Living Realty,28
TX-123458,8820 Westview Drive,Austin,TX,78731,2100000,Luxury Estate,5,4.5,4800,"Mediterranean-inspired estate on a private acre. Chef's kitchen, wine cellar, guest house, and resort-style pool with waterfalls.","Guest House,Wine Cellar,Pool,Outdoor Kitchen","https://images.unsplash.com/photo-1600607687920-4e2a09cf159d,https://images.unsplash.com/photo-1600607687939-ce8a6c25118c,https://images.unsplash.com/photo-1600607687166-c3e9f6c599d2",Active,2024-02-04,David Martinez,Premier Properties,65
TX-123459,456 Lake Austin Blvd,Austin,TX,78703,1650000,Waterfront Home,4,3.5,3600,"Waterfront property with private dock. Open concept living, floor-to-ceiling windows, and panoramic lake views.","Private Dock,Lake Views,Outdoor Living,Smart Home","https://images.unsplash.com/photo-1600607687939-ce8a6c25118c,https://images.unsplash.com/photo-1600607687166-c3e9f6c599d2,https://images.unsplash.com/photo-1600607687920-4e2a09cf159d",Active,2024-02-04,Emily Taylor,Waterfront Realty,37
TX-123460,2390 Barton Creek Blvd,Austin,TX,78735,3200000,Golf Estate,6,5.5,6200,"Prestigious golf course estate. Custom finishes, home theater, wine room, and infinity pool overlooking the 18th hole.","Golf Course Views,Wine Room,Home Theater,Smart Home","https://images.unsplash.com/photo-1600607687939-ce8a6c25118c,https://images.unsplash.com/photo-1600607687644-aac4c3eac7f4,https://images.unsplash.com/photo-1600607687920-4e2a09cf159d",Active,2024-02-04,Robert Wilson,Golf & Country Estates,89
TX-123461,753 East 6th Street,Austin,TX,78702,725000,Modern Condo,2,2,1500,"Stylish downtown condo with skyline views. Floor-to-ceiling windows, modern finishes, and large balcony.","City Views,Concierge,Fitness Center,Dog Park","https://images.unsplash.com/photo-1600607687939-ce8a6c25118c,https://images.unsplash.com/photo-1600607687644-aac4c3eac7f4,https://images.unsplash.com/photo-1600607687920-4e2a09cf159d",Active,2024-02-04,Lisa Anderson,Downtown Realty,31
TX-123462,4478 Spicewood Springs,Austin,TX,78759,950000,Ranch Style,4,3,2800,"Updated ranch-style home on large lot. Open concept, gourmet kitchen, and backyard oasis with pool.","Pool,Updated Kitchen,Large Lot,Home Office","https://images.unsplash.com/photo-1600607687939-ce8a6c25118c,https://images.unsplash.com/photo-1600607687644-aac4c3eac7f4,https://images.unsplash.com/photo-1600607687920-4e2a09cf159d",Active,2024-02-04,James Thompson,Hill Country Homes,45
TX-123463,901 Congress Avenue,Austin,TX,78701,1100000,Penthouse,3,2.5,2200,"Luxury penthouse in the heart of downtown. Private elevator, wraparound terrace, and high-end finishes.","Private Elevator,City Views,Concierge,Wine Storage","https://images.unsplash.com/photo-1600607687939-ce8a6c25118c,https://images.unsplash.com/photo-1600607687644-aac4c3eac7f4,https://images.unsplash.com/photo-1600607687920-4e2a09cf159d",Active,2024-02-04,Amanda Lee,Skyline Properties,52
TX-123464,2901 Pearl Street,Austin,TX,78705,799000,Craftsman,3,2,1800,"Charming craftsman in historic district. Original details, modern updates, and wrap-around porch.","Historic Details,Modern Kitchen,Wrap-around Porch,Garden","https://images.unsplash.com/photo-1600607687939-ce8a6c25118c,https://images.unsplash.com/photo-1600607687644-aac4c3eac7f4,https://images.unsplash.com/photo-1600607687920-4e2a09cf159d",Active,2024-02-04,Thomas Brown,Heritage Homes,33
TX-123465,5501 West Slaughter Lane,Austin,TX,78749,675000,Contemporary,3,2.5,2000,"Modern design meets comfort. Open floor plan, high ceilings, and private backyard.","Smart Home,Energy Efficient,Home Office,Garden","https://images.unsplash.com/photo-1600607687939-ce8a6c25118c,https://images.unsplash.com/photo-1600607687644-aac4c3eac7f4,https://images.unsplash.com/photo-1600607687920-4e2a09cf159d",Active,2024-02-04,Rachel Kim,Modern Living Realty,27 